cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-16.73962,-10.50229,-6.23733,-2.31664,-3.09681,-0.82388,0.3373,0.72,0.0004,26.39,0.65,0.220,0.679,1.337,0.1500,0.0500
25,-26.27959,-10.08009,-16.19950,-6.58699,-9.28889,-0.32362,0.9591,4.04,0.0025,26.70,0.73,0.231,0.654,1.207,0.1354,0.0500
50,-26.33573,-10.11109,-16.22464,-6.60957,-9.28391,-0.33116,0.9624,9.69,0.0060,25.33,2.30,0.248,0.642,1.035,0.1161,0.0500
75,-26.38663,-10.17199,-16.21464,-6.58051,-9.26316,-0.37097,0.9581,16.71,0.0103,25.93,1.88,0.259,0.627,0.934,0.1048,0.0500
100,-26.49555,-10.28374,-16.21181,-6.57525,-9.24780,-0.38877,0.9574,14.67,0.0091,25.57,2.27,0.270,0.611,0.801,0.0898,0.0500
125,-26.66884,-10.49228,-16.17656,-6.57699,-9.21998,-0.37958,0.9576,4.25,0.0026,25.57,2.38,0.281,0.595,0.722,0.0811,0.0500
150,-26.75026,-10.54949,-16.20077,-6.57017,-9.21651,-0.41409,0.9566,48.60,0.0300,26.79,1.19,0.293,0.580,0.619,0.0695,0.0500
175,-26.88146,-10.65090,-16.23056,-6.56738,-9.23868,-0.42449,0.9562,39.96,0.0247,26.72,1.40,0.308,0.569,0.559,0.0627,0.0500
200,-26.97268,-10.73487,-16.23781,-6.57622,-9.22743,-0.43416,0.9575,39.46,0.0244,25.74,2.33,0.324,0.560,0.479,0.0538,0.0500
225,-27.03727,-10.76763,-16.26964,-6.63217,-9.25757,-0.37990,0.9657,59.59,0.0368,26.20,2.19,0.341,0.555,0.433,0.0485,0.0500
250,-27.05934,-10.90653,-16.15280,-6.55720,-9.16827,-0.42733,0.9547,58.38,0.0360,26.02,2.21,0.356,0.549,0.410,0.0460,0.0500
275,-27.18073,-10.99753,-16.18319,-6.56067,-9.18015,-0.44237,0.9553,60.87,0.0376,26.14,2.17,0.368,0.545,0.370,0.0415,0.0500
300,-27.19877,-11.01206,-16.18671,-6.58781,-9.18595,-0.41295,0.9592,60.54,0.0374,26.22,2.15,0.379,0.541,0.387,0.0435,0.0500
