cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-18.05087,-10.48994,-7.56093,-1.28370,-5.49084,-0.78640,0.1869,-0.88,-0.0007,44.96,0.08,0.300,0.654,1.337,0.1500,0.0500
25,-32.70842,-12.80526,-19.90316,-6.55623,-13.07165,-0.27528,0.9546,1.02,0.0008,43.79,2.83,0.207,0.621,1.207,0.1354,0.0500
50,-33.71778,-13.83064,-19.88713,-6.61476,-12.95710,-0.31528,0.9631,1.76,0.0014,43.17,3.45,0.177,0.606,1.035,0.1161,0.0500
75,-34.53708,-14.67069,-19.86639,-6.60968,-12.92700,-0.32971,0.9624,2.25,0.0017,43.98,1.01,0.164,0.590,0.934,0.1048,0.0500
100,-35.23884,-15.31246,-19.92638,-6.62025,-12.97284,-0.33329,0.9639,3.08,0.0024,43.93,0.95,0.156,0.573,0.801,0.0898,0.0500
125,-35.71160,-15.78301,-19.92859,-6.62112,-12.96601,-0.34146,0.9641,2.73,0.0021,43.89,1.05,0.151,0.559,0.722,0.0811,0.0500
150,-36.15988,-16.28505,-19.87483,-6.60818,-12.92323,-0.34342,0.9622,2.92,0.0023,43.80,1.44,0.149,0.548,0.619,0.0695,0.0500
175,-36.51973,-16.60979,-19.90994,-6.61434,-12.93526,-0.36033,0.9631,3.19,0.0025,42.45,2.96,0.147,0.540,0.559,0.0627,0.0500
200,-36.81658,-16.91351,-19.90307,-6.61920,-12.93092,-0.35295,0.9638,2.98,0.0023,42.25,3.36,0.149,0.535,0.479,0.0538,0.0500
225,-37.00002,-17.06923,-19.93079,-6.61227,-12.95890,-0.35962,0.9628,9.70,0.0075,43.17,2.65,0.152,0.532,0.433,0.0485,0.0500
250,-37.19604,-17.28860,-19.90744,-6.61523,-12.92131,-0.37090,0.9632,9.16,0.0071,41.55,4.13,0.157,0.528,0.371,0.0416,0.0500
275,-37.30913,-17.39872,-19.91041,-6.59898,-12.93745,-0.37398,0.9608,9.59,0.0074,42.80,2.55,0.164,0.526,0.335,0.0376,0.0500
300,-37.41639,-17.52300,-19.89339,-6.60617,-12.91476,-0.37245,0.9619,8.95,0.0069,42.83,2.12,0.171,0.523,0.287,0.0322,0.0500
325,-37.54721,-17.62252,-19.92469,-6.60603,-12.94635,-0.37232,0.9619,9.37,0.0072,41.54,3.71,0.181,0.521,0.259,0.0291,0.0500
350,-37.69201,-17.74780,-19.94420,-6.61740,-12.96886,-0.35795,0.9635,99.01,0.0766,43.01,4.10,0.191,0.520,0.222,0.0249,0.0500
375,-37.85160,-17.91644,-19.93517,-6.60992,-12.95291,-0.37233,0.9624,105.27,0.0815,42.96,3.84,0.202,0.518,0.200,0.0225,0.0500
400,-37.86796,-17.92751,-19.94046,-6.59874,-12.95570,-0.38602,0.9608,15.33,0.0119,43.19,1.86,0.215,0.517,0.172,0.0193,0.0500
425,-37.87494,-17.97111,-19.90383,-6.59666,-12.93525,-0.37192,0.9605,15.12,0.0117,42.87,2.64,0.227,0.516,0.155,0.0174,0.0500
450,-37.99541,-18.07433,-19.92108,-6.58776,-12.94193,-0.39139,0.9592,14.90,0.0115,43.44,1.65,0.241,0.515,0.133,0.0149,0.0500
475,-37.97157,-18.07875,-19.89282,-6.58381,-12.91295,-0.39606,0.9586,15.29,0.0118,43.50,1.59,0.254,0.514,0.120,0.0135,0.0500
500,-38.01450,-18.05217,-19.96234,-6.61805,-12.98388,-0.36041,0.9636,15.09,0.0117,43.37,1.55,0.267,0.513,0.126,0.0141,0.0500
525,-38.05223,-18.11981,-19.93243,-6.60317,-12.94275,-0.38651,0.9614,15.22,0.0118,42.78,2.28,0.278,0.513,0.125,0.0141,0.0500
550,-38.03942,-18.09904,-19.94037,-6.59663,-12.94941,-0.39433,0.9605,105.40,0.0816,42.99,2.07,0.288,0.513,0.131,0.0147,0.0500
575,-38.08297,-18.15949,-19.92348,-6.59205,-12.93639,-0.39504,0.9598,14.93,0.0116,43.09,1.85,0.297,0.512,0.131,0.0147,0.0500
600,-38.09142,-18.18100,-19.91042,-6.60250,-12.91400,-0.39392,0.9613,19.49,0.0151,42.13,2.93,0.306,0.512,0.124,0.0139,0.0500
625,-38.22679,-18.25087,-19.97593,-6.62281,-12.97285,-0.38027,0.9643,19.56,0.0151,41.59,3.97,0.314,0.511,0.124,0.0139,0.0500
650,-38.22038,-18.28540,-19.93498,-6.60219,-12.93911,-0.39369,0.9613,109.09,0.0845,42.18,3.25,0.321,0.511,0.130,0.0145,0.0500
675,-38.23620,-18.28300,-19.95320,-6.60819,-12.95210,-0.39292,0.9622,18.99,0.0147,42.95,2.25,0.327,0.511,0.129,0.0145,0.0500
