cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-14.86523,-9.23552,-5.62971,-1.56110,-3.26395,-0.80465,0.2273,89.15,0.0923,31.36,1.79,0.270,0.703,1.337,0.1500,0.0500
25,-26.31986,-11.08325,-15.23662,-6.54033,-8.34977,-0.34652,0.9523,5.38,0.0056,31.89,3.98,0.219,0.664,1.207,0.1354,0.0500
50,-27.21032,-12.03208,-15.17824,-6.51818,-8.27767,-0.38239,0.9491,96.89,0.1004,31.03,4.29,0.196,0.651,1.035,0.1161,0.0500
75,-27.78377,-12.62489,-15.15888,-6.49801,-8.24555,-0.41531,0.9461,6.80,0.0070,30.24,5.27,0.185,0.637,0.934,0.1048,0.0500
100,-28.31965,-13.12986,-15.18979,-6.52812,-8.25976,-0.40191,0.9505,6.87,0.0071,30.07,3.44,0.178,0.621,0.801,0.0898,0.0500
125,-28.73362,-13.55332,-15.18031,-6.48556,-8.26232,-0.43242,0.9443,7.86,0.0081,30.13,2.52,0.176,0.605,0.722,0.0811,0.0500
150,-29.09533,-13.92520,-15.17013,-6.51865,-8.22957,-0.42191,0.9491,7.95,0.0082,30.67,1.33,0.178,0.588,0.619,0.0695,0.0500
175,-29.44114,-14.25627,-15.18487,-6.46604,-8.25433,-0.46450,0.9415,8.15,0.0084,29.84,1.61,0.179,0.576,0.559,0.0627,0.0500
200,-29.65919,-14.41379,-15.24540,-6.54466,-8.28363,-0.41710,0.9529,7.57,0.0078,29.80,1.53,0.182,0.567,0.479,0.0538,0.0500
225,-29.79279,-14.59678,-15.19600,-6.49021,-8.26446,-0.44133,0.9450,7.61,0.0079,29.86,1.73,0.188,0.560,0.433,0.0485,0.0500
250,-29.97469,-14.76802,-15.20667,-6.50331,-8.25972,-0.44364,0.9469,8.01,0.0083,30.12,0.84,0.195,0.554,0.371,0.0416,0.0500
275,-30.14472,-14.92390,-15.22082,-6.49527,-8.27040,-0.45514,0.9457,11.75,0.0122,30.09,0.81,0.203,0.549,0.335,0.0376,0.0500
300,-30.22427,-15.03651,-15.18776,-6.49553,-8.24468,-0.44756,0.9458,12.02,0.0124,30.02,0.71,0.212,0.545,0.287,0.0322,0.0500
325,-30.34242,-15.14628,-15.19613,-6.49265,-8.23578,-0.46771,0.9453,11.74,0.0122,29.99,1.37,0.223,0.542,0.259,0.0291,0.0500
350,-30.49217,-15.26241,-15.22976,-6.51934,-8.25816,-0.45226,0.9492,11.91,0.0123,29.90,1.32,0.234,0.539,0.222,0.0249,0.0500
375,-30.63811,-15.42600,-15.21210,-6.48475,-8.25968,-0.46767,0.9442,11.53,0.0119,30.09,0.89,0.246,0.536,0.200,0.0225,0.0500
400,-30.70152,-15.44540,-15.25612,-6.52550,-8.28112,-0.44950,0.9501,11.34,0.0118,30.09,2.24,0.258,0.533,0.172,0.0193,0.0500
425,-30.62679,-15.45513,-15.17166,-6.48685,-8.22338,-0.46143,0.9445,-78.67,-0.0815,30.56,1.24,0.272,0.531,0.155,0.0174,0.0500
450,-30.68570,-15.46629,-15.21941,-6.51174,-8.25203,-0.45564,0.9481,11.31,0.0117,29.92,0.80,0.285,0.530,0.162,0.0182,0.0500
475,-30.72022,-15.54492,-15.17529,-6.50349,-8.21866,-0.45314,0.9469,11.27,0.0117,29.81,0.51,0.296,0.528,0.162,0.0182,0.0500
