cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-21.98474,-14.11463,-7.87011,-1.18778,-5.89937,-0.78296,0.1729,-0.16,-0.0002,30.74,1.13,0.307,0.657,1.337,0.1500,0.0500
25,-36.60052,-17.22083,-19.37969,-6.30152,-12.75350,-0.32467,0.9175,15.27,0.0158,29.69,4.81,0.183,0.625,1.207,0.1354,0.0500
50,-38.20633,-18.66290,-19.54342,-6.41695,-12.79552,-0.33094,0.9343,6.37,0.0066,30.98,3.60,0.158,0.608,1.035,0.1161,0.0500
75,-39.18441,-19.64302,-19.54139,-6.48295,-12.71332,-0.34513,0.9439,13.22,0.0137,30.36,1.94,0.144,0.591,0.934,0.1048,0.0500
100,-39.88968,-20.30048,-19.58920,-6.54453,-12.68732,-0.35735,0.9529,13.38,0.0139,30.62,2.42,0.136,0.574,0.801,0.0898,0.0500
125,-40.51230,-20.94764,-19.56466,-6.55476,-12.65466,-0.35523,0.9544,13.38,0.0139,30.25,2.58,0.132,0.558,0.722,0.0811,0.0500
150,-41.06056,-21.48446,-19.57610,-6.56562,-12.65534,-0.35514,0.9560,14.17,0.0147,30.49,1.89,0.129,0.548,0.619,0.0695,0.0500
175,-41.49520,-22.00268,-19.49253,-6.52086,-12.58950,-0.38217,0.9495,14.32,0.0148,29.87,1.23,0.129,0.540,0.559,0.0627,0.0500
200,-41.90415,-22.32299,-19.58117,-6.53725,-12.66913,-0.37479,0.9518,14.07,0.0146,29.65,1.52,0.131,0.534,0.479,0.0538,0.0500
225,-42.10317,-22.57834,-19.52483,-6.53654,-12.60893,-0.37935,0.9517,14.40,0.0149,29.45,2.06,0.135,0.530,0.433,0.0485,0.0500
250,-42.47902,-22.94480,-19.53422,-6.51603,-12.60377,-0.41442,0.9488,14.51,0.0150,29.75,1.29,0.139,0.526,0.371,0.0416,0.0500
