cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
0,-10.82597,-4.61948,-6.20649,-1.88018,-3.53296,-0.79335,0.2738,-17.57,-0.0182,30.48,0.85,0.374,0.691,1.337,0.1500,0.0500
25,-20.33307,-5.08925,-15.24382,-6.50842,-8.33086,-0.40454,0.9476,-20.61,-0.0213,30.89,0.39,0.293,0.664,1.207,0.1354,0.0500
50,-20.63693,-5.36235,-15.27457,-6.53032,-8.34004,-0.40421,0.9508,-19.55,-0.0202,30.98,1.05,0.281,0.650,1.035,0.1161,0.0500
75,-20.71901,-5.48411,-15.23490,-6.52162,-8.28101,-0.43227,0.9496,-19.04,-0.0197,30.93,0.77,0.278,0.635,0.934,0.1048,0.0500
100,-20.85033,-5.62018,-15.23015,-6.52788,-8.25189,-0.45037,0.9505,-14.62,-0.0151,30.84,1.09,0.282,0.619,0.801,0.0898,0.0500
125,-20.85245,-5.63551,-15.21694,-6.48719,-8.26316,-0.46659,0.9446,-12.27,-0.0127,31.17,4.64,0.288,0.603,0.722,0.0811,0.0500
150,-21.03391,-5.79233,-15.24157,-6.52069,-8.27183,-0.44905,0.9494,-15.64,-0.0162,30.82,2.27,0.299,0.587,0.619,0.0695,0.0500
175,-21.07712,-5.84932,-15.22780,-6.52649,-8.23030,-0.47101,0.9503,-14.50,-0.0150,30.54,2.78,0.309,0.574,0.559,0.0627,0.0500
200,-21.15675,-5.89564,-15.26111,-6.53438,-8.25717,-0.46957,0.9514,-14.29,-0.0148,30.49,3.44,0.321,0.565,0.479,0.0538,0.0500
225,-21.25034,-5.97994,-15.27040,-6.52008,-8.25466,-0.49565,0.9493,-17.35,-0.0180,30.99,2.01,0.335,0.558,0.433,0.0485,0.0500
